#At time x allocated y bytes for process z from i to j
At time 12 freed 512 bytes from process 4 from 512 to 1023 
At time 12 allocated 256 bytes for process 6 from 512 to 767 
At time 15 freed 128 bytes from process 3 from 0 to 127 
At time 18 freed 256 bytes from process 5 from 256 to 511 
At time 32 freed 256 bytes from process 6 from 512 to 767 
At time 38 freed 256 bytes from process 8 from 512 to 767 
At time 39 freed 128 bytes from process 7 from 768 to 895 
At time 44 freed 512 bytes from process 9 from 0 to 511 
At time 45 freed 256 bytes from process 10 from 512 to 767 
